nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT07541612,NIRS MONITORING OF SPINAL CORD ISCHEMIA IN AORTIC SURGERY,Monaldi Hospital,2025-08-23,Intraoperative detection of spinal cord ischemia by paraspinal NIRS,2025,2020-2025,,0
NCT06351241,Hemodynamic Effects of Steep Trendelenburg Position and Pneumoperitoneum,Ege University,2022-11-29,Hemodynamic effects of steep trendelenburg position and pneumoperitoneum in urologic robotic surgery,2022,2020-2025,,0
NCT03540875,Automated Anesthesia Guided by the Conox Monitor for Surgery,CMC Ambroise Paré,2018-07-02,Adequate sedation,2018,2015-2019,Sedation / anesthesia depth,1
NCT06756594,Efficacy of Dexmedetomidine-Propofol Versus Ketamine-Propofol for Sedation,Sohag University,2024-11-12,intraoperative and postoperative monitoring of sedation during upper or lower gastrointestinal system endoscopy.,2024,2020-2025,Sedation / anesthesia depth,1
NCT04187274,Evaluation of the IKORUS Technology in Patients Undergoing Major Abdominal Surgery,Erasme University Hospital,2019-09-04,Analysis of uPi evolution during surgery and comparison with Stroke volume,2019,2015-2019,Cardiac outcomes,1
NCT06815510,Prevalence of Post Anesthesia Care Unit Complications and Associated Factors,"Ángel Becerra-Bolaños, MD PhD",2025-02-24,Rate of patients with postoperative complications in the postanesthesia care unit,2025,2020-2025,Postoperative complications,1
NCT06989762,Intraabdominal Pressure Monitoring Urinary Catheter and Kidney Perfusion Pressure,Dang Tan Phat,2025-08-01,Incidence of Postoperative Acute Kidney Injury (AKI) as defined by KDIGO Criteria,2025,2020-2025,Acute kidney injury,1
NCT04399278,End-eXpiratory Occlusion Test to Predict fluId REsponsiveness in the Operating Room (EXPIRE),"University Hospital, Clermont-Ferrand",2020-08-03,To compare the ability of an EEO over 30 sec with that of an EEO over 15 sec to predict fluid responsiveness,2020,2020-2025,Fluid management,1
NCT04926220,Dynamic Estimation of Cardiac Output in the Operating Room,Assistance Publique - Hôpitaux de Paris,2021-09-15,Cardiac output using the trans-esophageal Doppler technique | Cardiac output using the MostCareUp monitor | Cardiac output using the Argos monitor,2021,2020-2025,Cardiac outcomes,1
NCT07097740,Early Feasibility Study of Surgical Implantation of a Polymer Prosthetic Mitral and Aortic Valve,"Mitrassist Lifesciences Limited Co., Ltd.",2025-06-27,12-Month Incidence of Valve-related Complications,2025,2020-2025,Postoperative complications,1
NCT05736289,Evaluation of Mitral Valve Insufficiency Under General Anesthesia,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),2023-02-13,Arterial pressure waveform changes,2023,2020-2025,,0
NCT06022926,Investigation of the Intraoperative and Postoperative Effects of Warming Patients in Laparoscopic Cholecystectomy,Saglik Bilimleri Universitesi Gazi Yasargil Training and Research Hospital,2023-10-03,Agitation assessment,2023,2020-2025,,0
NCT04547491,Hypotension Prediction With HPI Algorithm During Major Gynecologic Oncologic Surgery,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2020-10-15,Cumulative Intraoperative Hypotension,2020,2020-2025,Hypotension exposure,1
NCT04246320,Taking Brain Monitoring to the Next Level,"University of California, Los Angeles",2020-01-30,Postoperative cognitive dysfunction | Postoperative cognitive dysfunction | Postoperative cognitive dysfunction | Postoperative Delirium,2020,2020-2025,Delirium / cognitive,1
NCT07328620,Is Permissive Hypotension Truly Harmless? Early Biomarker Evidence of Subclinical Kidney Injury in Rhinologic Surgery,Gazi University,2025-03-01,Change in plasma NGAL and cystatin C concentrations indicating subclinical kidney injury,2025,2020-2025,,0
NCT05423951,Effect of Remimazolam and Propofol on Hemodynamic Stability During Anesthesia Induction in OPCAB Patients,Seoul National University Hospital,2022-07-26,MAP-time integral,2022,2020-2025,,0
NCT07571473,CoreSys Monitoring for Intraoperative Stress Management in Abdominal Hysterectomy,Hospital Provincial de Rosario,2025-01-08,Change in interleukin-6 (IL-6) levels | Change in cortisol levels | Change in blood glucose levels,2025,2020-2025,,0
NCT07005661,Use of PRP in Open Surgery for Type A Aortic Dissection,Beijing Anzhen Hospital,2025-06-30,Units of Allogeneic RBC Transfusion Within 24 Hours Perioperatively,2025,2020-2025,Blood loss / transfusion,1
NCT03208023,RESIPI for Reducing Perioperative Major Adverse Cardiac Events,Vanderbilt University Medical Center,2017-10-09,B-typer Natriuretic Peptide (BNP) | Troponin,2017,2015-2019,,0
NCT07197567,Equivalent MAC in General Anesthesia,Sakarya University,2025-11-01,Correlation between Equivalent Minimum Alveolar Concentration (eMAC) and Minimum Alveolar Concentration (MAC),2025,2020-2025,,0
NCT03719248,Thoracic Epidural Reduces Risks of Increased Left Ventricular Mass Index During Coronary Artery Bypass Graft Surgery,"Ahmed Said Elgebaly,MD",2017-01-01,The changes in LV systolic. | The changes in LV diastolic. | ejection fraction percent | FAC percent | EDA,2017,2015-2019,Cardiac outcomes,1
NCT05836922,Association Between Renal Regional Oxygen Saturation Measured by Near-InfraRed Spectroscopy and Postoperative Renal Failure After Lung Transplantation Surgery: A Pilot Study,Assistance Publique Hopitaux De Marseille,2024-03-23,Occurrence of early postoperative acute renal failure up to the fifth postoperative day,2024,2020-2025,Acute kidney injury,1
NCT07133126,Prediction of Arterial Hypotension by HPI: a Feasibility Study in Lung Resection Surgery and During Fenestrated Aortic Stenting Under General Anesthesia,Hospices Civils de Lyon,2025-01-01,Impact of ACUMEN monitoring,2025,2020-2025,,0
