nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT06662175,Role of Dexmedetomidine as Synergistic Agent,"Lady Reading Hospital, Pakistan",2024-11,Evaluate the efficacy of Dexmedetomidine when used adjunctively with hyperbaric bupivacaine in extending the duration of sensory and motor blockade in subarachnoid anesthesia.,2024,2020-2025,,0
NCT05094427,Perioperative Local Anesthesia Block in Spine Surgery,Columbia University,2021-03-10,First visual analog scale (VAS) pain score in the post-anesthesia care unit (PACU) | Total PACU opioid requirements,2021,2020-2025,Pain,1
NCT05631834,ESP Versus TEA for Oeasophagus Cancer Surgery,Vinmec Healthcare System,2024-01-01,Morphine consumption,2024,2020-2025,Pain,1
NCT05230641,Cardiac Autonomic Dysfunction and Perioperative Outcomes,"National Institute of Mental Health and Neuro Sciences, India",2022-03-01,Prevalence of cardiac autonomic dysfunction in neurosurgical patients,2022,2020-2025,,0
NCT07289321,Tramadol / Magnesium in Ropivacaine Solution in UG-bilateral TAP Block and Analgesia in Robotic Radical Prostatectomy,Aretaieion University Hospital,2025-12-09,Perioperative fentanyl intravenous administration to patients. | Τotal consumption of intravenous tramadol.,2025,2020-2025,,0
NCT06115031,Remimazolam vs. Propofol: Impact on Postoperative Delirium in Neurosurgical Patients,Samsung Medical Center,2024-01-29,Postoperative delirium,2024,2020-2025,Delirium / cognitive,1
NCT07500519,Preoperative Shock Indexes and Post-Spinal Hypotension in Cesarean Surgery,Marmara University,2025-10-15,Predictive performances of preoperative shock indexes for intraoperative hypotension,2025,2020-2025,Hypotension exposure,1
NCT05570565,Erector Spinae Block Versus Local Field Block in Lumbar Spine Surgeries,Cairo University,2023-11-10,duration of postoperative analgesia,2023,2020-2025,Pain,1
NCT05711030,Thoracic Paravertebral Block Anesthesia for Breast Cancer Surgery,Ciusss de L'Est de l'Île de Montréal,2022-11-04,Total perioperative fentanyl (mcg) consumption | Total perioperative ketamine (mg) consumption,2022,2020-2025,,0
NCT05269147,Lidocaine Versus Bupivacaine for Sphenopalatine Ganglion Block,"Huda Fahmy Mahmoud, PhD",2022-03-01,Postoperative Pain-free duration (minutes),2022,2020-2025,Pain,1
NCT05451550,The Effects of General Anesthesia and Combined Anesthesia in Controlled Hypotension During Arthroscopic Shoulder Surgery,General Hospital of Ningxia Medical University,2022-07-17,The dosage of total vasopressor-inotrope dose between groups,2022,2020-2025,Vasopressor / inotrope use,1
NCT05416944,Perioperative Personalized Blood Pressure Management: IMPROVE-multi,Universitätsklinikum Hamburg-Eppendorf,2023-02-26,Composite outcome of major postoperative complications,2023,2020-2025,Postoperative complications,1
NCT07112157,Efficacy of Oxalidine and Sufentanil in Strabismus Correction,Henan Provincial People's Hospital,2025-08,Adequate rate of intraoperative analgesia | Success rate of initial insertion of laryngeal mask,2025,2020-2025,Pain,1
NCT03769428,Postoperative Analgesia in Breast Cancer Surgery: Safety and Efficiency of Ultrasound Guided Erector Spinae Plane Block,Ben marzouk Sofiene,2018-12-17,Comparing morphine consumption rates within 24h postoperative,2018,2015-2019,Pain,1
NCT04275544,Risk Factors of Postoperative Complications in HCM Patients,Xijing Hospital,2020-02,Identify perioperative risk factors of in-hospital postoperative complications (PCs),2020,2020-2025,Postoperative complications,1
NCT06732427,Clinical Study of Fospropofol Disodium for Injection in the Painless Endoscopic Diagnosis and Treatment,Affiliated Hospital of Nantong University,2025-08-12,Sedation success rate | Length of successful induction of anesthesia | hypoxaemia,2025,2020-2025,Sedation / anesthesia depth,1
NCT05460442,Pericapsular Nerve Group Block Versus Fascia Iliaca Block for Pediatric Hip Surgery,Tanta University,2022-07-15,Total Opioids consumption,2022,2020-2025,Pain,1
NCT04728945,Prevention of Perioperative Pulmonary Complications by Lung Recruitment During Laparoscopic Surgery,Osaka University,2021-06-18,Incidence of hypoxia | Time to onset of hypoxia,2021,2020-2025,,0
NCT07108881,Ultrasound Guided Fluid Loading Before Spinal Anesthesia,University Tunis El Manar,2024-05-01,incidence of post-spinal anesthesia arterial hypotension during surgery,2024,2020-2025,Hypotension exposure,1
NCT07191938,Posthectomy in Pediatric Elective Surgery : a Comparison of Perioperative Analgesia Using Echo-guided Penile Block and Pudendal Block With neurostimuLation Technique,"University Hospital, Caen",2025-09,Failure of effective postoperative analgesia,2025,2020-2025,Pain,1
NCT07206186,Effect of Music on Patient Comfort,Medical University of Vienna,2025-06-05,Impact of listening to self-selected music during anesthesia induction and emergence on patient well-being,2025,2020-2025,,0
NCT05171608,Preoperative Ultrasound-based Protocol for Optimization of Fluid Therapy to Prevent Early Intraoperative Hypotension,Semmelweis University,2021-12-15,Rate of hypotension associated to general anesthesia induction,2021,2020-2025,Hypotension exposure,1
NCT05615168,Use of Hypotension Prediction Index to Reduce Intraoperative Hypotension in Major Thoracic Surgery,University Hospital Dubrava,2022-01-01,Time weighted average of area under hypotensive threshold,2022,2020-2025,Hypotension exposure,1
NCT05662371,Influence of Nociception Level Monitor (NOL) Guided Analgesic Delivery on Robot-assisted Colorectal Surgery,University of Southern Denmark,2023-08-01,Total intraoperative consumption of sufentanil Total intraoperative consumption of sufentanil,2023,2020-2025,,0
NCT03432650,Evaluation of Anterior Quadratus Lumborum Block for Postoperative Analgesia in Hip Arthroscopy,"Hospital for Special Surgery, New York",2018-06-01,Numerical Pain Rating System (NRS) Pain Scores | Numerical Pain Rating System (NRS) Pain Scores | Numerical Pain Rating System (NRS) Pain Scores | Numerical Pain Rating System (NRS) Pain Scores | Numerical Pain Rating System (NRS) Pain Scores,2018,2015-2019,Pain,1
NCT03316339,Postoperative and Opioid Free Anesthesia,Rennes University Hospital,2017-11-29,Occurence of a severe postoperative opioid-related adverse event defined as : postoperative hypoxemia or postoperative ileus (POI) or postoperative cognitive dysfunction (POCD).,2017,2015-2019,Postoperative complications; Pain; Delirium / cognitive,3
NCT03715712,NORepinephrine-Maintaining-individuaALIZEd Blood Pressure,Seoul National University Hospital,2018-11-01,Occurrence of postoperative myocardial injury,2018,2015-2019,Cardiac outcomes,1
NCT06704698,Postoperative Analgesia Between Paravertebral Block and Epidural Block in Esophageal Surgery,Zhejiang Cancer Hospital,2024-12-03,Overall Benefit of Analgesic Score (OBAS),2024,2020-2025,Pain,1
NCT02703415,Immune Response of Caudally Administrated Tramadol In Pediatric Lower Abdominal Surgery,Assiut University,2016-06,post operative immune response,2016,2015-2019,,0
NCT03559920,The Optimal Dose of Sevoflurane Via Anaconda® in Post-operative Patient Underwent Head & Neck Surgery,Yonsei University,2018-04-03,Optimal end-tidal sevoflurane concentration to induce moderate sedation of RASS -2~-3 in patients who undergo head & neck surgery with tracheostomy,2018,2015-2019,Sedation / anesthesia depth,1
NCT02345616,Role of the Nitric Oxide (NO) in Pre-oxygenation Before Anesthetic Induction in Patients With a Pulmonary Hypertension in Cardiac Surgery. Pilot Study of Feasibility,"University Hospital, Clermont-Ferrand",2015-02,"Pulmonary arterial systolic, diastolic and mean pressure | Pulmonary arterial mean/arterial mean ratio | SpO2 (Pulsed oxygen saturation) | FeO2 (Fraction expired oxygen) (data not available just during intubation phase) | Cardiac index | Systemic vascular resistances | SVO2 (Central Venous Saturation) | Sat O2 (Blood oxygen saturation) | PaO2 (Partial pressure of arterial oxygen) | MetHb (methemoglobin)",2015,2015-2019,Cardiac outcomes; Blood loss / transfusion; Lactate / tissue perfusion,3
NCT03018899,Paravertebral Block Versus Epidural Anesthesia for Percutaneous Nephrolithotomy,Huazhong University of Science and Technology,2016-09,pain score 12h post operation,2016,2015-2019,Pain,1
NCT04506372,Management of Angiotensin Inhibitors During the Perioperative Period,UMC Utrecht,2020-09-11,Postoperative acute kidney injury,2020,2020-2025,Acute kidney injury,1
NCT06721819,"The SCOPE Trial: Sleep, Cognition, and Pain Bundle vs. ERAS-cardiac for Postoperative Delirium",Beth Israel Deaconess Medical Center,2025-06-06,Delirium Incidence,2025,2020-2025,Delirium / cognitive,1
NCT07359469,"Intravenous Lidocaine, Ketamine, and Magnesium in Thoracic Surgery",Universidad Pública de Navarra,2018-01-01,Total intravenous morphine consumption within the first 24 hours postoperatively.,2018,2015-2019,Pain,1
NCT03805503,Chloroprocaine for Inguinal Herniorrhaphy,"University Hospital, Ghent",2015-09-16,The dose of chloroprocaine 1% needed for the individual patient for a sensory anesthesia block at or above the T6 dermatome,2015,2015-2019,,0
NCT07047898,The Effect of Dexmedetomidine on Postoperative Cognitive Function in Geriatric Patients,Ankara Etlik City Hospital,2025-08,Postoperative cognitive dysfunction,2025,2020-2025,Delirium / cognitive,1
NCT06911593,Arterial Stiffness and Hemodynamics in Cardiac Surgery,Konya City Hospital,2022-10-01,Carotid-femoral Pulse Wave Velocity (PWV),2022,2020-2025,,0
NCT05312541,A Comparative Study Between Analgesic Effect of Opioid Free and Opioid Based Anesthesia in Radical Nephrectomy Surgery,Kasr El Aini Hospital,2022-04-10,The Time to first request of opioid analgesia,2022,2020-2025,Pain,1
NCT07432607,High-Flow Nasal Oxygen vs. Face Mask During Sedoanalgesia in Non-Intubated Thoracoscopic Pericardial Window Surgery,Ebru Girgin Dinc,2025-06-01,Oxygen Saturation Trends,2025,2020-2025,,0
NCT05072314,Long-term Outcomes of Lidocaine Infusions for Post-Operative Pain (LOLIPOP) Trial,Monash University,2022-07-27,"The incidence of moderate or severe CPSP at 1 year after surgery, as reported by the patient at the follow-up review.",2022,2020-2025,,0
NCT05866874,Monitoring of Vital Signs for Phenotyping of Perioperative Myocardial Infarction/Injury After Noncardiac Surgery,"University Hospital, Basel, Switzerland",2022-09-20,"Perioperative myocardial infarction/injury (PMI) | Major adverse cardiac and cerebral events (MACCE) | Postoperative atrial fibrillation (POAF) | Documentation and quantification of the frequency and duration of tachyarrhythmia, bradycardia, hypotension, hypertension, and/or hypoxaemia. | Comparison of the incidence and prognostic impact of PMI detected by using different troponin assays | Using biomarkers as tools for prediction of major cardiac complications in patients undergoing non-cardiac surgery",2022,2020-2025,Hypotension exposure; Postoperative complications; Cardiac outcomes,3
NCT06869876,Ortopod CZ Pilot Study,"Tomas Bata Hospital, Czech Republic",2025-03-01,"ALBA - cognitive assessment preoperatively | POBAV - cognitive assessment preoperatively | Postoperative CAM-ICU | ALBA, POBAV and CAM - ICU",2025,2020-2025,Delirium / cognitive,1
NCT06064370,Side-specific Factors for Intraoperative Hemodynamic Instability in Pheochromocytoma,Zagazig University,2016-09-01,hemodynamic instability,2016,2015-2019,,0
NCT04017013,Therapeutic Efficacy of Intravenous Lidocaine Infusion Compared With Epidural Analgesia for Postoperative Pain Control in Adult Patients Undergoing Major Abdominal Surgery: Non-Inferiority Clinical Trial,Universidad de Antioquia,2020-03-01,Posoperative Pain,2020,2020-2025,Pain,1
NCT06093789,The Relationship Between Personality Traits and Perioperative Anesthetic Drug Consumption,Ondokuz Mayıs University,2023-11-01,Propofol consumption,2023,2020-2025,Sedation / anesthesia depth,1
NCT07108218,Lateral Positioning for Extubation After Adenotonsillectomy,Sichuan University,2025-08-20,the occurrence of postoperative respiratory adverse events (PRAEs),2025,2020-2025,Postoperative complications,1
NCT05596071,Whether Opioids Are Factor That Induced POD?,Zhejiang Cancer Hospital,2016-06-25,Incidence of postoperative delirium | Incidence of postoperative delirium,2016,2015-2019,Delirium / cognitive,1
NCT04061057,Effect of Perioperative Intravenous Lidocaine Infusion on Postoperative Recovery in Patients Undergoing Arthroscopic Rotator Cuff Repair Under General Anesthesia,Yonsei University,2018-03-19,Fentanyl requirement using IV PCA,2018,2015-2019,,0
NCT06784570,Impact of Perioperative Levosimendan on Patients Undergoing Cardiac Surgery With Low Ejection Fraction,Zagazig University,2021-01-01,"death through day 30, | Renal-replacement therapy | Perioperative myocardial infarction | Intra Aortic Ballon Pumb insertion",2021,2020-2025,Mortality; Cardiac outcomes,2
NCT05721144,Inhaled NO in Surgical Patients With Recent COVID-19 Infection,Xijing Hospital,2023-02-17,postoperative pulmonary complications,2023,2020-2025,Postoperative complications,1
NCT05525312,Comparison of Two Strategies of One-lung Ventilation in Patients Undergoing Carcinological Lung Resection Surgery.,"University Hospital, Montpellier",2024-03-20,The incidence of intraoperative hypoxemia,2024,2020-2025,,0
NCT06776666,Pulse Pressure Variation vs. Central Venous Pressure for Fluid Management in Intracranial Tumor Surgery,Pamukkale University,2024-04-03,Fluid requirement (number of times needing bolus infusion-during surgery),2024,2020-2025,,0
NCT06451627,Esketamine on Postoperative Sleep Disturbance of Patients Undergoing Spinal Surgery,Beijing Tiantan Hospital,2024-06-10,The incidence of postoperative sleep disturbance(PSD) in patients undergoing spinal surgery,2024,2020-2025,,0
NCT05334537,Effect of Aromatherapy on Perioperative Anxiety Level in Cesarean Sections,Kahramanmaras Sutcu Imam University,2020-06-01,Comparison between patients using aromatherapy and those without aromatherapy | Comparison between patients using aromatherapy and those without aromatherapy,2020,2020-2025,,0
NCT03837535,Myocardial Infarction in the Perioperative Setting,Karolinska University Hospital,2019-01-01,Acute Myocardial Infarction,2019,2015-2019,Cardiac outcomes,1
NCT03962725,Avoiding Neuromuscular Blockers to Reduce Complications,Beth Israel Deaconess Medical Center,2019-08-07,Number of participants who either had postoperative pulmonary complications or died in hospital within 28 days of index procedure.,2019,2015-2019,Postoperative complications,1
NCT04208516,Continuous Nerve Block Block vs Combination of Single Block Plus Intravenous Lidocaine for Postoperative Pain.,Jeremy Kearns,2021-05-26,Opioid Consumption After Surgery,2021,2020-2025,Pain,1
NCT03281317,Vasoplegic Syndrome in Cardiac Surgery,"Centre Hospitalier Universitaire, Amiens",2017-12-15,Vasoplegic syndrome,2017,2015-2019,,0
NCT03600506,Dexmedetomidine Adjuvant to General Anesthesia of Abdominal Hysterectomy,Suez Canal University,2018-08,Change in Serum Interleukin 6 (IL6),2018,2015-2019,,0
NCT06009991,The Dose Range of Remimazolam Besylate in Different Age Groups,Tongji Hospital,2023-07-17,Occurrence of intraoperative hypotension,2023,2020-2025,Hypotension exposure,1
NCT07271849,Nalbuphine Timing Effects on Hemodynamics and Analgesia in Elderly Patients,Qianfoshan Hospital,2025-10-28,Visual Analog Scale (VAS) scores of participants at 30 minutes postoperatively.,2025,2020-2025,,0
NCT04736498,Inferior Venacava Ultrasound to Guide Fluid Management for Prevention of Hypotension After Spinal Anesthesia.,"Tribhuvan University, Nepal",2018-12-12,Comparison of incidence of hypotension between two groups,2018,2015-2019,Hypotension exposure,1
NCT03933306,Intraoperative Goal-directed Blood Pressure and Dexmedetomidine on Outcomes,Peking University First Hospital,2019-05-20,Incidence of organ injury and other complications within 30 days after surgery.,2019,2015-2019,Postoperative complications,1
NCT03921567,Intravenous Lidocaine for Perioperative and Postoperative Analgesia,Rajmonda Nallbani-Komoni,2019-04-15,Reduction of opiods used during perioperative period and other analgesics used during postoperative period,2019,2015-2019,Pain,1
NCT03221829,A Retrospective Analysis of Spinal Anaesthesia for TURBT Procedures in Elderly Patients,Medical University of Warsaw,2017-07-06,"The effectiveness of spinal anaesthesia for TURBT evaluated by a number of participants that had the procedure done, without the need of conversion to general anaesthesia .",2017,2015-2019,,0
NCT05935358,Nuwiq for Perioperative Management Of Patients With Haemophilia A on Emicizumab Regular Prophylaxis Study,Octapharma,2023-11-28,Overall haemostatic efficacy,2023,2020-2025,,0
NCT04506450,Peripheral Nerve Block vs Spinal Anesthesia in Hip Surgery,Università Politecnica delle Marche,2019-01-01,Change of the systolic blood pressure | Change of the diastolic blood pressure | Change of the mean blood pressure | Change of the heart rate,2019,2015-2019,Hypotension exposure; Cardiac outcomes,2
NCT04642209,Aggregometry in Elderlies With Hip Fracture and Receiving Clopidogrel,University Magna Graecia,2020-12-01,Patients undergoing to hip replacement surgery,2020,2020-2025,,0
NCT04566016,General Versus Regional Anaesthesia in Peripheral Arterial Surgery: Incidence of Postoperative Pulmonary Complications.,Hospital de Clinicas de Porto Alegre,2019-02-28,Incidence of postoperative pulmonary complications.,2019,2015-2019,Postoperative complications,1
NCT06749184,Predictors of Spinal Anesthesia-Induced Hypotension in Hypertensive Patients,Konya City Hospital,2025-01-03,Incidence of Spinal Anesthesia-Induced Hypotension (SASH),2025,2020-2025,Hypotension exposure,1
NCT07064408,Subanesthetic Esketamine for Hemodynamic Stability and Recovery in Elderly Thoracic Surgery Patients,Hebei Medical University Fourth Hospital,2023-06-01,Maximum Decrease in Mean Arterial Pressure (MAP) During Anesthesia Induction,2023,2020-2025,Hypotension exposure,1
NCT06837519,Lidocaine and Dexmedetomidine Infusion and Their Combination on Perioperative Pain in Patients Undergoing Video-Assisted Thoracoscopic Surgery,Ain Shams University,2025-02-20,Total morphine consumption,2025,2020-2025,Pain,1
NCT05785273,Analgesic Depth Evaluation During General Anesthesia With Dexmedetomidine-remifentanil Infusion. A Pilot Study,Università degli Studi di Brescia,2019-02-19,Feasibility of study protocol,2019,2015-2019,,0
NCT07511101,Perioperative Hypotension and Survival After Elective AAA Repair,Rijnstate Hospital,2023-01-17,30-day survival,2023,2020-2025,Mortality,1
NCT06573489,Efficacy and Safety of Fospropofol in Adult Laparoscopic Surgery: A Clinical Trial,Hui Xu,2024-09-15,Incidence of perioperative hypotension | Incidence of injection pain,2024,2020-2025,Hypotension exposure; Pain,2
NCT04302129,Ultrasound Guided Erector Spinae Plane Block Combined With General Anaesthesia Versus Conventional General Anaesthesia in Lumbar Spine Surgery,Mohamed Elsayed,2020-01-04,Anaesthetic requirements:,2020,2020-2025,,0
NCT07569614,Comparative Effects of Remimazolam Tosylate and Dexmedetomidine on Postoperative Delirium in Elderly Patients Undergoing Thoracoscopic Surgery.,First Affiliated Hospital of Kunming Medical University,2025-04-01,Incidence of delirium at 30 minutes postoperatively and on postoperative days 1-3,2025,2020-2025,Delirium / cognitive,1
NCT04729712,Efficacy of Ultrasound Guided ESP Vs Video-assisted PVB Catheter Placement in Minimally Invasive Thoracic Surgery,Mater Misericordiae University Hospital,2021-05-12,Quality of Recovery (QoR-15) score between Anaesthesiologist-administered ultrasound guided Erector Spinae block and Surgeon-administered video-assisted Paravertebral block at 24 hours postoperative.,2021,2020-2025,,0
NCT05061836,Effect of Using Dextrose-containing Intraoperative Fluid in Children,Mahidol University,2021-10,The difference in pre and postoperative value of base excess,2021,2020-2025,,0
NCT04771637,Effect of Dexmedetomidine on Perioperative Internal Environment and Rehabilitation of Patients Undergoing Gastrointestinal Malignant Tumor Resection,Yangzhou University,2017-01-01,age | weight | height | sex | ASA status,2017,2015-2019,,0
NCT06240234,Artificial Intelligence - to Predict and Prevent Hypotension During Surgery,Region Stockholm,2024-02,Accuracy of prediction of hypotension 5 minutes ahead of time using capnodynamics and continuous arterial blood pressure measurement.,2024,2020-2025,Hypotension exposure,1
NCT06264284,Emergency (Red Code) Cesarean Section : Maternal and Fetal Prognosis Depending on Anesthetic Modalities in a Level 3 Maternity Ward,"Central Hospital, Nancy, France",2018-07-19,To evaluate whether the type of anesthesia used influences the occurrence of perioperative maternal complications as well as neonatal outcome,2018,2015-2019,Postoperative complications,1
NCT06850844,Recruitment Maneuvers and PEEP-guided Electrical Impedance Tomography for Abdominal Laparoscopic Surgery Patients,Nguyen Dang Thu,2024-08-01,Regional Lung Ventilation | Oxygenation | Pulmonary Mechanic,2024,2020-2025,,0
NCT05922982,Norepinephrine Weaning Guided by the Hypotension Prediction Index in Vasoplegic Shock After Cardiac Surgery,"Centre Hospitalier Universitaire, Amiens",2023-09-01,Comparison of the duration of norepinephrine administration between both groups,2023,2020-2025,Vasopressor / inotrope use,1
NCT06711289,Predicting if the Blood Pressure Will Drop After Spinal Anesthesia Using Ultrasound of the Neck,Catharina Ziekenhuis Eindhoven,2023-04-12,Determine the predictive value of pre-anesthetic carotid parameters to predict spinal anesthesia-induced hypotension.,2023,2020-2025,Hypotension exposure; Sedation / anesthesia depth,2
NCT06905535,Corrected Carotid Flow Time for Predicting Spinal Anesthesia-induced Hypotension,Selcuk University,2025-04-01,predictive value of the carotid flow time alteration,2025,2020-2025,,0
NCT03631329,Predictability of Preoperative Carotid Artery Corrected Flow Time for Hypotension After Spinal Anesthesia in Patients Undergoing Cesarean Section,Yonsei University,2018-09-04,Occurrence of Hypotension,2018,2015-2019,Hypotension exposure,1
NCT06479512,Caval-aorta Index and Perfusion Index on Predict Hypotension After Spinal Anaesthesia in Elderly,Ankara City Hospital Bilkent,2024-07-01,caval aorta index for predicting hypotension in the elderly,2024,2020-2025,Hypotension exposure,1
NCT05840432,Hypotension Prediction During Cardiac Surgery Postoperative Period,Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz,2023-02-16,HPI Performance on Hypotension Prediction,2023,2020-2025,Hypotension exposure,1
NCT06427382,Prediction of Hypotension Using Perfusion Index Following Spinal Anesthesia,Ankara City Hospital Bilkent,2024-05-25,Perfusion index age difference,2024,2020-2025,Lactate / tissue perfusion,1
NCT05828862,Intraoperative Hypotension and Metabolomics in Major Upper Gastrointestinal Surgery,National Taiwan University Hospital,2023-04-22,time weighted average mean arterial pressure less than 65 mmHg,2023,2020-2025,Hypotension exposure,1
NCT05341167,HPI Algorithm for the Prevention of IOH During Spinal Surgery [HPIFPIOH],Attikon Hospital,2022-05-11,Time-weighted average (TWA) in hypotension,2022,2020-2025,Hypotension exposure,1
NCT07316179,Predicting Difficult Intubation in Bariatric Surgery: Comparison of El Ganzouri Risk Index and Airway Ultrasound,Antalya Training and Research Hospital,2025-12-25,Association between each individual ultrasound parameter and difficult laryngoscopy,2025,2020-2025,,0
NCT06703814,PROtective Ventilation With FLOW-Controlled Ventilation,Cantonal Hospital of St. Gallen,2025-08-02,Safety of intraoperative FCV,2025,2020-2025,,0
NCT07534774,Pilot Study of Real-Time Blood Pressure Decision Support During Cesarean Delivery Under Spinal Anesthesia,Brigham and Women's Hospital,2025-06-16,Root Mean Square Error of 1-Minute-Ahead Mean Arterial Pressure Forecast | Root Mean Square Error of 2-Minute-Ahead Mean Arterial Pressure Forecast | Root Mean Square Error of 3-Minute-Ahead Mean Arterial Pressure Forecast,2025,2020-2025,Hypotension exposure,1
NCT06847737,Prediction of Hypotension After Spinal Anesthesia in Cesarean Sections Using Non-Invasive Measurement Methods,Istinye University,2025-03-01,tissue oxygen saturation | tissue hemoglobin index,2025,2020-2025,Blood loss / transfusion; Lactate / tissue perfusion,2
NCT07333729,Effects of Spinal Anesthesia on the Fetal Autonomic Nervous System,"University Hospital, Lille",2025-12-17,To assess the impact of spinal anesthesia on fetal autonomic nervous system activity during elective cesarean delivery.,2025,2020-2025,,0
NCT06051162,HPI Effect in Robotic Urological Surgery on AKI,Ewha Womans University Mokdong Hospital,2023-11-07,Acute kidney injury,2023,2020-2025,Acute kidney injury,1
NCT07283614,Ocular Hypotony and Refractive Predictability in RRD Surgery,Kazakh Eye Research Institute,2025-12-08,Mean Absolute Error (MAE) of Postoperative Refraction,2025,2020-2025,,0
NCT06631482,Comparison Bewteen Intraoperative HPI vs. High Mean Arterial Pressure Threshold,National Taiwan University Hospital,2024-09-16,Comparison of Time-Weighted Average (TWA) for MAP below 65 mmHg During Surgery | Comparison of Time-Weighted Average (TWA) for MAP above 100 mmHg During Surgery,2024,2020-2025,Hypotension exposure,1
NCT06166719,Prediction of Complications After Major Gastrointestinal Surgery With Machine Learning and Point of Care Ultrasound,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),2023-11-20,Post-operative complications,2023,2020-2025,Postoperative complications,1
NCT02952651,Prediction of Fluid Responsiveness in Children Undergoing Major Surgery,Seoul National University Hospital,2017-05-10,The ability of delta POP for prediction of fluid responsiveness in children,2017,2015-2019,Fluid management,1
NCT05762237,Deep Learning Models for Prediction of Intraoperative Hypotension Using Non-invasive Parameters,Samsung Medical Center,2023-04-01,Deep learning model's prediction ability on intraoperative hypotension event,2023,2020-2025,Hypotension exposure,1
NCT03864692,Prediction of Hypotension Using Perfusion Index and Pleth Variability Index After Spinal Anesthesia for C/S,Kahramanmaras Sutcu Imam University,2019-01-22,pleth variability index (PVI) | Perfusion index (PI),2019,2015-2019,Lactate / tissue perfusion,1
NCT06078228,Prediction of Hypotension During Induction of General Anesthesia,Ain Shams University,2023-09-24,the predictive value of the carotid Ftc for prediction of hypotension.,2023,2020-2025,Hypotension exposure,1
NCT05523713,Development and Validation of a Predictive Score for Surgical Site Infections,Hopital Foch,2022-10-06,Performance of the preoperative prediction score for infectious complications of the surgical site.,2022,2020-2025,Postoperative complications,1
NCT05648643,Arterial Elastance: A Predictor of Hypotension Due to Anesthesia Induction,Acibadem University,2022-01-01,Arterial elastance (Ea) measured before anesthesia induction was investigated whether is a predictive parameter for post-induction hypotension in patients undergoing general anesthesia.,2022,2020-2025,Hypotension exposure,1
NCT07156474,Impact of Intraoperative Blood Pressure Components on Postoperative AKI: A Phenotype-Stratified Analysis,Lanyue Zhu,2025-09-09,Postoperative AKI | Individualized Optimal Intraoperative Hypotension Threshold.,2025,2020-2025,Hypotension exposure; Acute kidney injury,2
NCT03439007,Anesthesia-induced Hypotension and Fluid Responsiveness,Seoul National University Hospital,2018-02-10,Pleth variability index,2018,2015-2019,,0
NCT05105477,Hypotension Prediction Index (HPI) SMART-BP Trial,Edwards Lifesciences,2021-11-17,A Composite of 30-day Moderate-to-severe Perfusion Related Postoperative Complications.,2021,2020-2025,Postoperative complications; Lactate / tissue perfusion,2
NCT06206434,Point of Care Ultrasound and Co-loading in Patients With Spinal-induced Hypotension and Cardiac Diseases,Attikon Hospital,2024-01-02,Number of hypotension events after spinal anesthesia in patients with crystaloids co-loading guided by transthoracic echocardiogrpahy,2024,2020-2025,Hypotension exposure,1
NCT03533205,Prediction of Hemodynamic Instability in Patients Undergoing Surgery,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),2015-04-01,Sensitivity of the HPI algorithm | Specifity of the HPI algorithm,2015,2015-2019,Goal-directed therapy protocol,1
NCT06158542,AI Prediction of Post-Induction Hypotension in Cesarean Sections With Spinal Anesthesia,Hacettepe University,2023-02-28,The Low Blood Pressure Measured by Non-Invasive Methods,2023,2020-2025,Hypotension exposure,1
NCT05076929,Assessment of Ultrasonographic Measurement of Inferior Vena Cava Collapsibility Index in Prediction of Hypotension Associated With Tourniquet Release in Total Knee Replacement Surgeries Under Spinal Anesthesia,Ain Shams University,2021-05-28,mean arterial blood pressure,2021,2020-2025,Hypotension exposure,1
NCT06003478,The Safety and Influencing Factors of Liwen Procedure in The Treatment of Hypertrophic Cardiomyopathy,Xijing Hospital,2023-07-21,Postoperative Complications During Hospitalization,2023,2020-2025,Postoperative complications,1
NCT05896514,Carotis cFT In Prediction Of Hypotension,Cukurova University,2023-06-03,anesthesia induction related hypotension,2023,2020-2025,Hypotension exposure,1
NCT05147012,Intraoperative Hypotension Predicted by Mean Arterial Pressure,Hospices Civils de Lyon,2019-03-01,AUC ROC of LepMAP,2019,2015-2019,,0
NCT06236217,Prediction of Spinal Anesthesia-Induced Hypotension in Cesarian Section: Carotid Artery-Corrected Flow Time Versus Cardiometry,Tanta University,2021-08-01,The incidence of post-spinal hypotension,2021,2020-2025,Hypotension exposure,1
NCT06984302,A PREDICTIVE ALGORITHM IN AORTIC SURGERY,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2025-06-01,time weighted average of mean arterial presure under 65 mmHg,2025,2020-2025,Hypotension exposure,1
NCT06414811,Tapse/Pasp General Anesthesia,Aydin Adnan Menderes University,2024-05-15,1. tension,2024,2020-2025,,0
NCT06897514,External Validation of Prediction Algorithm Using Non-invasive Monitoring Device for Intraoperative Hypotension,Samsung Medical Center,2025-04-11,Value of the Area Under the Receiver-Operating Characteristic curve analysis,2025,2020-2025,,0
NCT02556658,Predicted Level of General Anaesthesia in Hip Fracture Surgery,"University Hospital, Angers",2015-02,"Percentage of time spent in the ""appropriate anaesthesia zone""",2015,2015-2019,,0
